[2026-04-08T18:59:23.741] INFO  SERVER  | event=worker_connected worker_id=21120 ip=127.0.0.1
[2026-04-08T18:59:46.568] INFO  SERVER  | event=task_queued client_ip=127.0.0.1 task_size=16272
[2026-04-08T18:59:46.568] INFO  SERVER  | event=task_dispatched worker_id=21120 task_size=16272 load_score=5.9 cpu=2.0 ram=15.1
[2026-04-08T18:59:46.568] INFO  SERVER  | event=task_sending worker_id=21120 task_size=16272
[2026-04-08T18:59:46.573] INFO  SERVER  | event=task_completed worker_id=21120 output_size=864 duration_sec=0
[2026-04-08T18:59:46.573] INFO  SERVER  | event=result_relayed worker_id=21120 client_fd=8 output_size=864
[2026-04-08T19:00:34.090] INFO  SERVER  | event=worker_connected worker_id=21224 ip=127.0.0.1
[2026-04-08T19:00:38.838] INFO  SERVER  | event=worker_connected worker_id=21245 ip=127.0.0.1
[2026-04-08T19:02:17.048] INFO  SERVER  | event=task_queued client_ip=127.0.0.1 task_size=16272
[2026-04-08T19:02:17.048] INFO  SERVER  | event=task_dispatched worker_id=21120 task_size=16272 load_score=5.1 cpu=0.8 ram=15.1
[2026-04-08T19:02:17.048] INFO  SERVER  | event=task_sending worker_id=21120 task_size=16272
[2026-04-08T19:02:17.094] INFO  SERVER  | event=task_completed worker_id=21120 output_size=860 duration_sec=0
[2026-04-08T19:02:17.094] INFO  SERVER  | event=result_relayed worker_id=21120 client_fd=10 output_size=860
[2026-04-08T19:02:21.712] INFO  SERVER  | event=task_queued client_ip=127.0.0.1 task_size=16272
[2026-04-08T19:02:21.712] INFO  SERVER  | event=task_dispatched worker_id=21120 task_size=16272 load_score=5.4 cpu=1.2 ram=15.1
[2026-04-08T19:02:21.712] INFO  SERVER  | event=task_sending worker_id=21120 task_size=16272
[2026-04-08T19:02:21.758] INFO  SERVER  | event=task_completed worker_id=21120 output_size=862 duration_sec=0
[2026-04-08T19:02:21.758] INFO  SERVER  | event=result_relayed worker_id=21120 client_fd=10 output_size=862
[2026-04-08T19:02:25.544] INFO  SERVER  | event=task_queued client_ip=127.0.0.1 task_size=16272
[2026-04-08T19:02:25.544] INFO  SERVER  | event=task_dispatched worker_id=21245 task_size=16272 load_score=5.5 cpu=1.3 ram=15.1
[2026-04-08T19:02:25.545] INFO  SERVER  | event=task_sending worker_id=21245 task_size=16272
[2026-04-08T19:02:25.549] INFO  SERVER  | event=task_completed worker_id=21245 output_size=860 duration_sec=0
[2026-04-08T19:02:25.549] INFO  SERVER  | event=result_relayed worker_id=21245 client_fd=9 output_size=860
